"ID","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","subscribed"
1,28,"technician","single","tertiary","no",4987,"no","no","cellular",9,"feb",253,21,-1,0,"unknown","yes"
2,27,"management","single","tertiary","no",3347,"no","no","cellular",18,"may",311,1,-1,0,"unknown","no"
3,59,"unknown","married","unknown","no",1500,"no","no","cellular",4,"aug",248,1,182,1,"other","no"
4,33,"admin.","married","secondary","no",17,"yes","no","cellular",13,"may",74,1,351,1,"failure","no"
5,32,"management","single","secondary","no",-32,"yes","no","unknown",23,"may",139,1,-1,0,"unknown","no"
6,33,"services","married","unknown","no",89,"yes","no","unknown",20,"may",341,1,-1,0,"unknown","no"
7,38,"management","married","tertiary","no",1223,"no","no","cellular",12,"aug",1092,5,-1,0,"unknown","yes"
8,40,"technician","married","secondary","no",826,"no","no","unknown",24,"feb",174,1,267,2,"other","no"
9,37,"technician","single","secondary","no",3,"yes","no","cellular",8,"aug",90,5,-1,0,"unknown","no"
10,47,"housemaid","divorced","secondary","no",80,"no","no","cellular",19,"aug",196,2,-1,0,"unknown","no"
11,45,"services","married","secondary","no",4005,"yes","no","cellular",17,"nov",141,1,-1,0,"unknown","no"
12,32,"management","single","tertiary","no",935,"no","no","cellular",9,"nov",165,1,91,7,"success","yes"
13,23,"student","single","secondary","no",922,"no","no","cellular",25,"nov",242,1,85,8,"failure","no"
14,34,"technician","married","secondary","no",-255,"yes","no","cellular",21,"aug",179,2,-1,0,"unknown","no"
15,40,"management","single","tertiary","no",1393,"yes","no","unknown",21,"may",20,8,-1,0,"unknown","no"
16,45,"management","married","tertiary","no",1847,"no","no","unknown",16,"jun",77,5,-1,0,"unknown","no"
17,34,"technician","married","secondary","no",1,"no","yes","unknown",25,"jun",53,1,-1,0,"unknown","no"
18,36,"blue-collar","single","primary","no",736,"yes","no","cellular",16,"apr",114,2,304,2,"failure","no"
19,26,"student","single","secondary","no",864,"yes","no","cellular",15,"may",659,1,-1,0,"unknown","yes"
20,39,"management","married","tertiary","no",15,"yes","yes","cellular",21,"nov",90,2,-1,0,"unknown","no"
